Produto,Mes,Unidades,Segmento,Mes_Num,Data,Selic_Mes,PIB_Const_Index,Credito_Safra_Bi,Vendas_Lag1,Media_Movel_3M,Predicao_ML_Exog
Pas carregadeiras,Out,461.0,Construção,10,2024-10-01,10.5,105.2,29.7,260.0,316.0,572.1851180884333
Pas carregadeiras,Out,385.0,Construção,10,2024-10-01,10.5,105.2,29.7,461.0,395.6666666666667,225.88690419469896
Pas carregadeiras,Nov,359.0,Construção,11,2024-11-01,11.25,103.2,24.3,385.0,368.6666666666667,581.3736600464754
Pas carregadeiras,Nov,285.0,Construção,11,2024-11-01,11.25,103.2,24.3,359.0,401.6666666666667,692.202775736341
Pas carregadeiras,Dez,635.0,Construção,12,2024-12-01,11.75,103.5,21.0,285.0,343.0,578.2675733553887
Pas carregadeiras,Dez,299.0,Construção,12,2024-12-01,11.75,103.5,21.0,635.0,426.3333333333333,218.483226206021
Retroescavadeiras,Set,780.0,Construção,9,2024-09-01,10.5,104.8,35.1,366.0,554.0,942.7543971704627
Retroescavadeiras,Set,306.0,Construção,9,2024-09-01,10.5,104.8,35.1,780.0,699.3333333333334,238.33673647551274
Retroescavadeiras,Out,967.0,Construção,10,2024-10-01,10.5,105.2,29.7,306.0,484.0,798.1593538804191
Retroescavadeiras,Out,486.0,Construção,10,2024-10-01,10.5,105.2,29.7,967.0,684.3333333333334,253.439206713608
Retroescavadeiras,Nov,802.0,Construção,11,2024-11-01,11.25,103.2,24.3,486.0,586.3333333333334,222.79815191919664
Retroescavadeiras,Nov,288.0,Construção,11,2024-11-01,11.25,103.2,24.3,802.0,751.6666666666666,271.40841941391943
Retroescavadeiras,Dez,882.0,Construção,12,2024-12-01,11.75,103.5,21.0,288.0,525.3333333333334,915.0254610232765
Retroescavadeiras,Dez,288.0,Construção,12,2024-12-01,11.75,103.5,21.0,882.0,657.3333333333334,178.02890512630646
Rolos compactadores,Set,369.0,Construção,9,2024-09-01,10.5,104.8,35.1,91.0,168.66666666666666,268.69035182009486
Rolos compactadores,Set,70.0,Construção,9,2024-09-01,10.5,104.8,35.1,369.0,257.0,224.205641013706
Rolos compactadores,Out,353.0,Construção,10,2024-10-01,10.5,105.2,29.7,70.0,176.66666666666666,274.34929744221466
Rolos compactadores,Out,66.0,Construção,10,2024-10-01,10.5,105.2,29.7,353.0,264.0,226.23764101370602
Rolos compactadores,Nov,255.0,Construção,11,2024-11-01,11.25,103.2,24.3,66.0,163.0,270.89477363269083
Rolos compactadores,Nov,69.0,Construção,11,2024-11-01,11.25,103.2,24.3,255.0,224.66666666666666,154.13303878893245
Rolos compactadores,Dez,208.0,Construção,12,2024-12-01,11.75,103.5,21.0,69.0,130.0,267.7419164898337
Rolos compactadores,Dez,43.0,Construção,12,2024-12-01,11.75,103.5,21.0,208.0,177.33333333333334,218.36878097074035
Tratores de esteira,Set,107.0,Construção,9,2024-09-01,10.5,104.8,35.1,263.0,203.66666666666666,145.46095082134445
Tratores de esteira,Set,287.0,Construção,9,2024-09-01,10.5,104.8,35.1,107.0,153.0,255.41074174389658
Tratores de esteira,Out,74.0,Construção,10,2024-10-01,10.5,105.2,29.7,287.0,219.0,117.75838321119876
Tratores de esteira,Out,265.0,Construção,10,2024-10-01,10.5,105.2,29.7,74.0,156.0,269.5297736326909
Tratores de esteira,Nov,70.0,Construção,11,2024-11-01,11.25,103.2,24.3,265.0,208.66666666666666,125.28304337499134
Tratores de esteira,Nov,244.0,Construção,11,2024-11-01,11.25,103.2,24.3,70.0,136.33333333333334,267.7419164898337
Tratores de esteira,Dez,53.0,Construção,12,2024-12-01,11.75,103.5,21.0,244.0,193.0,186.89338285232876
Tratores de esteira,Dez,192.0,Construção,12,2024-12-01,11.75,103.5,21.0,53.0,122.33333333333333,279.1544218270609
